month,cpi_less_fe,cpi_adjustment
2011-03,223.5,1.170
2012-03,228.5,1.144
2013-03,232.8,1.123
2014-03,236.6,1.105
2015-03,240.7,1.086
2016-03,246,1.063
2017-03,250.9,1.042
2018-03,256.1,1.021
2019-03,261.4,1.000
