YEAR,HHWT,MET2013,PUMA,OWNERSHPD,MORTAMT1,RENT,PERNUM,PERWT,SEX,AGE,MARST,RACE,HISPAN,EDUC,EMPSTAT,OCC2010,IND,INCTOT,FTOTINC,POVERTY,MIGMET1,MIGPLAC1,MIGPUMA1
2006,75,38060,121,13,1300,0,1,73,1,34,1,1,0,6,1,9130,6380,45000,59000,375,4480.0,,
2006,75,38060,121,13,1300,0,2,76,2,31,1,1,0,8,3,410,7070,14000,59000,375,4480.0,,
2006,75,38060,121,13,1300,0,3,84,1,2,6,1,0,0,0,9920,0,9999999,59000,375,4480.0,,
2006,188,38060,116,22,0,590,1,196,1,23,6,1,0,7,1,910,6890,36000,36000,349,4480.0,,
2006,77,39140,500,0,0,0,1,77,2,17,6,1,0,5,3,9920,0,0,9999999,0,4482.0,,
2006,71,29420,600,12,0,0,2,86,2,49,2,1,0,7,3,2150,7270,4700,22700,192,4482.0,,
2006,79,46060,203,13,1200,0,2,98,1,45,4,1,0,7,3,1000,8370,2500,112500,501,4480.0,,
2006,92,38060,111,13,1100,0,1,95,1,54,1,1,1,6,2,4230,8190,5400,14900,93,4482.0,,
2006,63,38060,119,13,690,0,1,63,1,46,1,7,1,7,1,3800,9470,110030,126030,501,4482.0,,
2006,63,38060,119,13,690,0,2,60,2,45,1,7,1,6,3,5860,770,16000,126030,501,4482.0,,
2006,63,38060,119,13,690,0,3,64,1,12,6,7,1,2,0,9920,0,9999999,126030,501,4482.0,,
2006,63,38060,119,13,690,0,4,64,1,5,6,7,1,1,0,9920,0,9999999,126030,501,4482.0,,
2006,49,38060,800,13,730,0,1,50,1,65,1,1,0,6,3,9920,0,12000,51500,433,4482.0,,
2006,49,38060,800,13,730,0,2,56,2,60,1,1,0,6,3,9920,0,39500,51500,433,4482.0,,
2006,85,49740,700,22,0,700,1,87,2,24,6,6,0,11,1,2810,6670,20000,20000,196,4480.0,,
2006,107,39140,500,22,0,820,1,108,2,38,3,1,0,6,1,4950,6470,13000,13000,82,4480.0,,
2006,81,38060,114,13,550,0,1,80,2,70,5,1,0,6,1,710,7390,86900,86900,501,4482.0,,
2006,89,46060,205,13,1700,0,1,89,1,29,1,1,0,10,1,1410,7290,52000,108000,501,4482.0,,
2006,89,46060,205,13,1700,0,2,103,2,29,1,1,0,10,2,2310,7860,56000,108000,501,4482.0,,
2006,73,38060,120,12,0,0,3,92,1,21,6,1,0,7,2,4720,5270,0,123060,501,4480.0,,
2006,63,38060,121,12,0,0,1,62,1,54,4,1,1,7,1,9100,7860,35000,65400,323,4480.0,,
2006,233,29420,600,22,0,1000,1,225,1,28,1,1,0,8,1,5510,6380,46100,46100,226,4480.0,,
2006,233,29420,600,22,0,1000,2,87,2,23,1,1,0,7,3,4110,8680,0,46100,226,4480.0,,
2006,233,29420,600,22,0,1000,3,94,2,2,6,1,0,0,0,9920,0,9999999,46100,226,4480.0,,
2006,8,46060,201,0,0,0,1,8,1,18,6,1,0,6,3,4000,8680,1004,9999999,0,4482.0,,
2006,139,38060,110,0,0,0,1,139,2,33,6,1,1,5,3,9920,0,0,9999999,0,4480.0,,
2006,140,38060,111,22,0,1000,1,142,2,22,1,7,1,6,1,5940,4670,30000,50000,208,4480.0,,
2006,140,38060,111,22,0,1000,2,213,1,29,1,7,1,6,1,7200,4670,20000,50000,208,4480.0,,
2006,140,38060,111,22,0,1000,3,219,1,9,6,7,1,1,0,9920,0,9999999,50000,208,4480.0,,
2006,140,38060,111,22,0,1000,4,219,1,6,6,7,1,1,0,9920,0,9999999,50000,208,4480.0,,
2006,140,38060,111,22,0,1000,5,233,2,1,6,7,1,0,0,9920,0,9999999,50000,208,4480.0,,
2006,75,29420,600,13,850,0,1,72,1,62,4,1,0,10,3,6440,580,56000,56000,501,4480.0,,
2006,58,38060,110,13,400,0,1,58,1,38,1,1,0,7,1,7700,2980,76000,106000,501,4482.0,,
2006,58,38060,110,13,400,0,2,56,2,46,1,1,0,6,3,2310,7860,30000,106000,501,4482.0,,
2006,58,38060,121,13,860,0,1,60,2,32,1,8,0,10,1,4800,6480,58000,116000,501,4482.0,,
2006,58,38060,121,13,860,0,2,62,1,34,1,1,0,7,1,2810,6480,58000,116000,501,4480.0,,
