State00,PUMA00,GEOID00,GISJOIN00,State10,PUMA10,GEOID10,GISJOIN10,State10_Name,PUMA10_Name,CPUMA00,CPUMA10,PUMA00_Pop00,PUMA10_Pop00,Part_Pop00,pPUMA00_Pop00,pPUMA10_Pop00,PUMA00_Pop10,PUMA10_Pop10,Part_Pop10,pPUMA00_Pop10,pPUMA10_Pop10,PUMA00_Land,PUMA10_Land,Part_Land,pPUMA00_Land,pPUMA10_Land
04,00103,0400103,G04000103,04,00129,0400129,G04000129,Arizona,Phoenix (Far North) & Peoria (Northwest) Cities,25,25,"174,453","33,734","17,653",10.12,52.33,"234,790","105,818","66,904",28.50,63.23,"679,263,187","652,679,752","538,672,549",79.30,82.53
04,00104,0400104,G04000104,04,00110,0400110,G04000110,Arizona,Maricopa County--Scottsdale City (Southwest) & Paradise Valley Town,25,25,"188,935","124,445",0,0.00,0.00,"203,305","116,958",0,0.00,0.00,"233,458,222","121,899,152",66,0.00,0.00
04,00104,0400104,G04000104,04,00112,0400112,G04000112,Arizona,"Maricopa County--Scottsdale (North), Phoenix (Far Northeast) Cities & Cave Creek",25,25,"188,935","68,591","33,689",17.83,49.12,"203,305","105,478","51,916",25.54,49.22,"233,458,222","608,656,677","153,625,105",65.80,25.24
04,00104,0400104,G04000104,04,00113,0400113,G04000113,Arizona,Phoenix City (Northeast),25,25,"188,935","110,363","62,558",33.11,56.68,"203,305","102,189","57,994",28.53,56.75,"233,458,222","85,572,441","35,873,977",15.37,41.92
04,00104,0400104,G04000104,04,00114,0400114,G04000114,Arizona,Phoenix City (Northeast Central),25,25,"188,935","104,421","43,682",23.12,41.83,"203,305","103,639","46,022",22.64,44.41,"233,458,222","62,256,464","19,971,942",8.55,32.08
04,00104,0400104,G04000104,04,00115,0400115,G04000115,Arizona,Phoenix City (Northwest Central),25,25,"188,935","105,221","45,808",24.25,43.54,"203,305","101,757","43,878",21.58,43.12,"233,458,222","55,882,990","18,266,141",7.82,32.69
04,00104,0400104,G04000104,04,00129,0400129,G04000129,Arizona,Phoenix (Far North) & Peoria (Northwest) Cities,25,25,"188,935","33,734","3,198",1.69,9.48,"203,305","105,818","3,495",1.72,3.30,"233,458,222","652,679,752","5,720,991",2.45,0.88
04,00105,0400105,G04000105,04,00110,0400110,G04000110,Arizona,Maricopa County--Scottsdale City (Southwest) & Paradise Valley Town,25,25,"152,743","124,445","35,346",23.14,28.40,"175,214","116,958","33,777",19.28,28.88,"647,566,590","121,899,152","72,806,233",11.24,59.73
04,00105,0400105,G04000105,04,00111,0400111,G04000111,Arizona,Maricopa County (Northeast)--Scottsdale City (Southeast) & Fountain Hills Town,25,25,"152,743","93,720","82,495",54.01,88.02,"175,214","104,877","87,896",50.16,83.81,"647,566,590","3,300,898,603","145,582,457",22.48,4.41
04,00105,0400105,G04000105,04,00112,0400112,G04000112,Arizona,"Maricopa County--Scottsdale (North), Phoenix (Far Northeast) Cities & Cave Creek",25,25,"152,743","68,591","34,902",22.85,50.88,"175,214","105,478","53,541",30.56,50.76,"647,566,590","608,656,677","429,177,429",66.28,70.51
