"('fuel', 'distribution')","2"
"('distribution', 'dwv')","2"
"('dwv', 'drainwaste')","2"
"('drainwaste', 'vent')","2"
"('vent', 'introduces')","2"
"('introduces', 'plumbing')","2"
"('plumbing', 'principals')","2"
"('principals', 'practices')","2"
"('practices', 'topics')","2"
"('include', 'installation')","2"
"('installation', 'basicsrepair')","2"
"('basicsrepair', 'techniquesand')","2"
"('techniquesand', 'nomenclature')","2"
