"","Year","V1"
"1",2010,1.77982178703368
"2",2011,1.77432776678186
"3",2012,1.77020957596461
"4",2013,1.76777721115617
"5",2014,1.76326141017688
"6",2015,1.76935724573339
"7",2016,1.78867647715026
