"","Group.1","x"
"1",2010,7.616603711717
"2",2011,7.65933875914384
"3",2012,7.62943149878175
"4",2013,7.59546932176635
"5",2014,7.57554399033663
"6",2015,7.35415873501811
"7",2016,7.02697709588098
