"","Year","V1","type"
"1",2011,1.75150113707865,"best"
"2",2012,1.72569925124528,"best"
"3",2013,1.6942147349004,"best"
"4",2010,1.74983013183746,"best"
"5",2014,1.70742701588542,"best"
"6",2015,1.68412424379747,"best"
"7",2016,1.70163197801587,"best"
"8",2014,1.76793385653333,"worst"
"9",2015,1.78121379604167,"worst"
"10",2016,1.8023344425614,"worst"
"11",2013,1.79598595671233,"worst"
"12",2010,1.83540741215789,"worst"
"13",2012,1.80880445908213,"worst"
"14",2011,1.77709668110577,"worst"
